"ID_REF"	"GSM3753011"	"GSM3753012"	"GSM3753013"	"GSM3753014"	"GSM3753015"	"GSM3753016"
"236232_at"	44.468193	46.294083	49.61706	52.92746	56.66053	51.290398
"236233_at"	86.80871	65.195045	70.701584	80.916084	72.993996	68.19338
"236234_at"	7.095467	6.337909	6.580329	8.571342	7.0339627	8.104199
"236235_at"	35.428223	32.100933	34.336834	34.529327	30.065897	39.33658
"236236_at"	15.509123	15.617186	14.64548	15.754295	17.495916	16.667048
"236237_at"	8.718531	9.1735325	7.971518	8.087561	8.559803	9.55872
"236238_at"	27.862843	29.33165	24.28296	25.261925	23.442785	27.37394
"236239_at"	46.467613	46.91572	42.39705	49.835487	52.575268	51.132088
"236240_at"	187.18114	185.59102	170.23148	159.3045	159.85257	159.00189
"236241_at"	48.951	74.620834	73.99629	74.75142	76.273445	70.772026
"236242_at"	50.847775	44.977062	25.535135	36.835793	40.165226	31.730318
"236243_at"	73.9156	70.43969	53.09454	81.58743	73.44676	76.87349
"236244_at"	59.476643	79.471176	191.8889	66.33699	63.920788	135.5349
"236245_at"	15.322309	16.224478	18.10026	18.603683	16.645802	17.342564
"236246_x_at"	68.06638	57.47123	62.58793	54.13764	60.420807	65.98671
"236247_at"	146.51231	136.46898	123.88961	135.70155	153.1258	136.81587
"236248_x_at"	163.00668	137.3615	141.95662	157.93842	148.74307	175.88672
"236249_at"	134.07623	112.415665	114.15689	155.50421	119.48568	132.80423
"236250_at"	96.07919	139.632	130.33813	98.40124	143.82716	120.059296
"236251_at"	45.768574	58.069042	53.035927	48.47243	47.196934	41.61636
"236252_at"	31.193022	28.77461	27.906067	29.760426	34.66357	28.127586
"236253_at"	22.901804	22.14152	23.18147	19.724073	19.92147	22.393332
"236254_at"	116.7045	100.18724	121.455055	98.48017	107.96796	97.567795
"236255_at"	16.702898	14.178289	18.827877	18.689894	16.43253	18.49261
"236256_at"	21.566246	21.300032	22.050098	20.493023	24.21707	19.156914
"236257_at"	68.45003	54.003876	78.18864	68.4012	62.666546	57.0418
"236258_at"	101.97768	92.33155	114.17859	116.01079	104.52672	102.33392
"236259_at"	130.55138	140.72157	132.63539	118.13527	146.88638	133.52672
"236260_at"	19.292076	22.920408	22.171522	24.391432	23.879332	21.080723
"236261_at"	35.106705	31.43419	31.55541	34.333927	29.136885	30.37333
"236262_at"	6.9878893	8.09522	6.2704463	8.186683	7.6809444	6.589925
"236263_at"	40.435623	40.226246	36.227318	40.546783	40.447464	38.668476
"236264_at"	111.40088	58.70609	78.621895	94.32146	44.70597	79.2598
"236265_at"	337.6111	281.14713	255.4712	311.92352	321.47116	284.36008
"236266_at"	21.328964	21.736755	23.944986	22.248726	18.373074	23.79923
"236267_at"	69.78885	73.76863	69.35084	72.74897	78.106834	69.68264
"236268_at"	114.9409	98.789024	90.14386	113.693405	109.631516	107.01337
"236269_at"	42.65938	35.90981	40.76455	43.047382	36.48661	39.988033
"236270_at"	23.946894	22.25427	40.312775	27.570732	29.905462	43.307484
"236271_at"	37.76284	43.196365	47.96739	36.34329	38.352486	37.813698
"236272_at"	21.147472	25.629488	18.996769	21.198706	21.733753	18.719376
"236273_at"	296.54135	239.93112	218.9711	277.47406	282.06	250.39542
"236274_at"	141.66348	198.07852	391.71765	193.52753	194.12614	375.10318
"236275_at"	92.81121	107.91237	96.85118	109.42004	111.11229	115.21773
"236276_at"	9.324272	8.306199	7.217202	7.928746	7.513505	6.8228884
"236277_at"	40.324463	39.18022	35.865456	33.857517	48.093895	46.901398
"236278_at"	18.967714	15.871689	17.041523	14.112182	15.436953	16.653006
"236279_at"	24.855139	22.160898	28.346169	26.328632	24.197155	28.346169
"236280_at"	4.90116	5.754422	6.898593	5.906397	5.734551	5.2784996
"236281_x_at"	4.9700127	5.259378	6.2014356	5.5634785	5.3210616	5.243616
"236282_at"	80.16845	82.169785	66.67665	70.885895	81.6205	72.62496
"236283_x_at"	151.6859	151.1005	145.50482	138.77872	171.42802	148.03398
