ID_REF	DESCRIPTION	GSM637872	GSM637873	GSM637874	GSM637875	GSM637876	GSM637877
8173609		4.981359	4.802176	5.448061	5.372595	4.850013	4.402932
8173611		4.710973	4.710973	4.791608	4.710973	4.579526	4.893697
8173613		10.93581	11.04419	11.09658	11.20448	10.77627	10.38716
8173615		9.609835	9.38422	10.27023	10.13591	9.920586	10.06457
8173621		5.150364	5.400862	5.979095	5.913334	5.005169	4.852271
8173627		4.353413	4.29295	4.462633	4.472827	4.384502	4.432371
8173629		8.486025	8.319626	9.442759	9.341704	9.064872	9.280721
8173647		4.298739	4.065364	5.061113	4.585062	4.111434	4.175169
8173665		5.135937	5.324053	5.387482	5.503755	5.363437	5.34525
8173671		5.32405	5.881646	5.220359	5.341422	5.215925	5.197768
8173673		8.343599	8.196268	9.080326	9.065672	8.820154	8.733995
8173713		10.64454	10.47888	11.12066	11.58986	11.3893	11.18443
8173729		10.76612	10.76838	10.78031	10.34696	10.99437	11.03322
8173732		8.732416	8.796732	9.169348	8.964666	9.345421	9.304973
8173745		3.311474	3.338237	3.60234	3.01824	3.402276	3.213871
8173752		4.886831	4.564368	4.767517	4.419199	4.45076	4.624297
8173755		4.957774	4.685162	6.415981	5.932839	4.746034	5.246393
8173766		8.79166	8.700148	9.345552	9.467422	7.913146	7.90414
8173812		7.181154	6.883112	8.12494	7.944971	4.936531	5.104214
8173823		3.274028	3.0652	3.176231	3.011087	3.048119	3.101044
8173825		5.655558	5.625088	6.694506	6.948152	4.123659	4.32475
8173848		5.458052	5.478192	5.979309	6.01309	5.184997	5.344963
8173862		4.428392	4.288208	4.041014	4.365755	4.221796	4.245082
8173869		4.002468	3.855801	3.92222	4.026861	3.815664	3.721804
8173890		3.996832	3.587561	3.542667	3.606874	3.34225	3.744945
8173892		7.695307	7.782569	8.441094	8.531942	7.35739	7.381693
8173912		8.330688	8.637218	8.742417	8.618776	8.666202	8.600217
8173915		3.278491	3.381357	3.27209	3.250971	3.3439	3.371635
8173917		6.679006	7.036	8.272499	8.203767	5.510006	5.929479
8173922		3.02272	2.650248	2.929552	3.016147	3.02272	2.947459
8173924		4.235088	4.40075	4.307587	4.368916	4.195956	3.936683
8173926		4.776075	4.894514	5.373841	4.844092	4.797298	4.682662
8173928		3.813402	3.516742	3.359047	3.570337	3.466448	3.435196
8173930		4.690668	4.766935	4.515834	4.962124	4.806205	4.563353
8173933		4.637853	5.020375	4.724851	4.988828	4.431883	4.652902
8173941		9.039306	9.136786	9.654066	9.574808	8.907451	8.981987
8173955		7.733955	7.356509	7.765471	7.765204	6.837815	7.229669
8173977		4.929276	4.8262	4.924326	5.103255	4.845083	4.845191
8173979		4.721757	4.608901	4.435734	4.378914	4.423236	4.614637
8173999		4.62275	4.722198	4.948576	4.623082	4.713181	4.661431
8174005		8.51042	8.596284	9.059711	9.216626	7.881176	8.001356
8174026		8.605089	8.8486	8.819688	8.671015	8.630386	8.760607
8174029		4.684609	4.518764	4.663368	4.661712	4.532554	4.516447
8174045		3.035043	3.07285	3.120445	2.995109	3.157876	3.232667
8174047		7.421048	7.756383	8.57492	8.076351	6.554701	6.788322
8174051		4.816801	4.703819	4.945845	4.912598	4.740553	4.71547
8174076		8.193708	8.018691	9.156734	8.851116	8.30671	8.407599
8174086		9.467079	9.629646	9.819221	9.609732	8.58898	9.026144
